id,first_name,last_name,position,id_team,abbreviation,city,conference,division,full_name,name
713,Ronnie,Grandison,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
714,Lamont,Strothers,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
715,Tracy,Moore,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
716,Jaren,Jackson,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
717,Ennis,Whatley,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
718,Brian,Howard,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
719,Steve,Burtt,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
720,Cedric,Hunter,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
721,Stephen,Bardo,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
722,Cliff,T. Robinson,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
723,Derek,Strong,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
724,Bobby,Phills,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
725,Anthony,Avent,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
726,Lee,Mayberry,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
727,Todd,Day,,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
728,Tony,Bennett,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
729,Brent,Price,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
730,Don,MacLean,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
731,Tom,Gugliotta,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
732,Walt,Williams,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
733,Lloyd,Daniels,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
734,Vinny,Del Negro,,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
735,Shaquille,O'Neal,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
736,Adam,Keefe,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
737,Clar.,Weatherspoon,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
738,Robert,Horry,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
739,Chris,Smith,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
740,Christian,Laettner,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
